File,Time_Sec,GPU_Util,RAM_Usage_MB,Power_W,Net_Sent_Bytes,Net_Recv_Bytes,CPU_Core_0,CPU_Core_1,CPU_Core_2,CPU_Core_3,CPU_Total_Avg
EC_0179-5381-04-04-PSJ-F-04-A.wav,5.234897585993167,18,12053,0,240,240,4.9,11.4,2.9,1.9,5.2749999999999995
EC_0179-5382-04-04-PSJ-F-04-A.wav,0.2820852289733011,99,12055,0,120,120,0.0,0.0,0.0,0.0,0.0
EC_0179-5382-04-04-PSJ-F-04-A.wav,1.2822945349907968,95,12055,0,360,360,5.1,9.1,18.4,7.1,9.924999999999999
EC_0179-5382-04-04-PSJ-F-04-A.wav,2.2824869439937174,99,12055,0,120,120,35.0,11.1,2.0,9.0,14.275
EC_0179-5382-04-04-PSJ-F-04-A.wav,3.282644086983055,97,12055,0,240,240,2.0,0.0,0.0,13.0,3.75
EC_0179-5382-04-04-PSJ-F-04-A.wav,4.282803085981868,97,12055,0,240,240,3.0,1.0,2.0,17.6,5.9
EC_0179-5382-04-04-PSJ-F-04-A.wav,5.282934115995886,98,12055,0,240,240,2.0,0.0,1.0,12.4,3.85
EC_0179-5382-04-04-PSJ-F-04-A.wav,6.3065749679808505,0,12055,0,240,240,2.0,1.9,0.0,15.7,4.8999999999999995
EC_0179-5383-04-04-PSJ-F-04-A.wav,0.06281615199986845,99,12055,0,120,120,0.0,0.0,0.0,0.0,0.0
EC_0179-5383-04-04-PSJ-F-04-A.wav,1.1377041109954007,98,12054,0,120,490,6.5,9.2,26.6,21.8,16.025
EC_0179-5383-04-04-PSJ-F-04-A.wav,2.1598268319794443,98,12054,0,360,360,2.9,11.8,27.5,8.9,12.775
EC_0179-5383-04-04-PSJ-F-04-A.wav,3.1862409219902474,99,12054,0,240,240,1.0,1.0,1.9,14.6,4.625
EC_0179-5383-04-04-PSJ-F-04-A.wav,4.213369067001622,97,12054,0,120,120,1.0,1.9,1.0,14.7,4.6499999999999995
EC_0179-5383-04-04-PSJ-F-04-A.wav,5.240893521986436,97,12054,0,240,240,1.0,1.0,1.0,15.4,4.6
EC_0179-5383-04-04-PSJ-F-04-A.wav,6.267442115989979,87,12054,0,120,120,0.0,1.0,2.9,14.7,4.6499999999999995
EC_0179-5383-04-04-PSJ-F-04-A.wav,7.294489680003608,0,12054,0,120,120,2.9,0.0,1.0,14.7,4.6499999999999995
EC_0179-5384-04-04-PSJ-F-04-A.wav,0.061620246997335926,99,12054,0,120,120,10.4,9.1,10.3,7.6,9.35
EC_0179-5384-04-04-PSJ-F-04-A.wav,1.1362901129759848,99,12054,0,0,0,10.2,8.4,33.6,6.5,14.675
EC_0179-5384-04-04-PSJ-F-04-A.wav,2.1612626209971495,98,12054,0,480,480,12.1,24.3,8.8,2.0,11.8
EC_0179-5384-04-04-PSJ-F-04-A.wav,3.1882783429755364,94,12054,0,0,0,3.8,1.0,14.4,1.0,5.05
EC_0179-5384-04-04-PSJ-F-04-A.wav,4.214306907990249,97,12054,0,240,240,1.9,1.9,14.0,0.0,4.45
EC_0179-5384-04-04-PSJ-F-04-A.wav,5.241912582976511,97,12054,0,120,276,2.0,1.0,14.6,1.0,4.65
EC_0179-5384-04-04-PSJ-F-04-A.wav,6.2691457249748055,0,12054,0,240,864,1.0,1.9,16.3,1.9,5.2749999999999995
EC_0179-5385-04-04-PSJ-F-04-A.wav,0.061539026006357744,99,12056,0,120,120,7.3,5.6,9.6,7.9,7.6
EC_0179-5385-04-04-PSJ-F-04-A.wav,1.136113495012978,98,12056,0,120,120,28.7,15.9,10.1,7.5,15.55
EC_0179-5385-04-04-PSJ-F-04-A.wav,2.157731003011577,97,12056,0,240,1044,25.7,8.8,7.8,0.0,10.575
